comment_id,text_clean
Ugy0x-4-DtSBqbI9xzV4AaABAg,t believe iphone little damage go
UgxiWJR_lputl5zGhO54AaABAg,november
Ugw3EkUlU9lfj0UXRQh4AaABAg,old
Ugz_0Xkt2ksNyZEFKBh4AaABAg,song good br vaaste like br leja comment
UgxhPko3QQeWuLvfyEN4AaABAg,moment sing lound mouse
Ugwig8zeflNBXSCVx2J4AaABAg,apun ko bhi woich phone mangta h
UgzSqyeafZVyJUQKetB4AaABAg,kon kon ha
UgzUA_LpxYG_Qbggk714AaABAg,href href look cute
UgxXiIRe3Mhe-m3TbgR4AaABAg,m see m view
UgyBzuNU93t8lscsyLp4AaABAg,ya movie b hai kya
Ugz0FeGncOnAlDMPjw94AaABAg,s t series
Ugy3b4gVBz9i8efJ2it4AaABAg,href song time
Ugw3Lu5wQxWP_mwI_Dt4AaABAg,vaaste favourite song
UgxuoZA1QaBG94KwACZ4AaABAg,song overacting siddharth gupta guy song beautiful choreography
Ugw4lP-Elem6LVzfkTl4AaABAg,pahli bar kon sun raha href hai
Ugwm5djwGSQ3rkzddb54AaABAg,guy look like belong school
Ugx_5e7BlNx9z09DF7d4AaABAg,jab bhi upset hoti hu mujhe ye song fav yarrrr
UgzB68g-_f3tRZwfJRt4AaABAg,k comment u find comment ur legend
UgzutUkTbND9lvdO6C54AaABAg,s come listen song
UgwElwLO55wSsmPhUMZ4AaABAg,glamour auto tune dhwani
UgwBaOX3w_MQ6yplXtF4AaABAg,tell movie tv series m interested song
UgzlusA316b1TnaZpBx4AaABAg,hear song like aur ji ko yeh song pasand hai woh bhi like karo
UgyuDGsAbTEytzS4We54AaABAg,billion o vaaste tu bhi line mein laga huaa hai pehle bolna chahiye na br vaaste tu sunta hi nahi hai br
Ugzok2GVzxgq7vQcwj94AaABAg,malayalikal thazhe kanunna like buttonil neela paint adichechum pokuka
UgwVsS3s3aBN0V3eM114AaABAg,reflecte muito sobre uni o de duas brigas nao paro de ver o video
UgymjmbC723lw2_Cm2p4AaABAg,vaaste u like hit like button
UgyXiljT0Rj4G5_Hfap4AaABAg,sapa kat sini tengok video ni sebab terciduk lagi makan
UgyDr2M80hlUvfhHvhF4AaABAg,mental come ask listen song oct br
UgxMAS7xnYIkZDWkGrt4AaABAg,million deliver minute
UgwTp7XKJ7iAz_-b82l4AaABAg,find song type quot exactly quot
UgzAFenr2JOSxvUttjJ4AaABAg,reason meme href
Ugy_4_x2w4TlJir2L1p4AaABAg,malayali like adi
UgwQSGJ_akQL4lCDL754AaABAg,like judge reaction
UgyrDpVrLHkMaDkf_kd4AaABAg,people s corona br people survivor
UgwYwalaIsRX0wqXhqt4AaABAg,know song search dhvani tell aaj exactly mera break ho gaya
UgxZ1jHrQCU1iQYhYu94AaABAg,phone throw br instead search phone play basketball think rich right
Ugznz5wdF1EymYZ4bWt4AaABAg,ramcharan
UgxYa69PBgnCDmezQTB4AaABAg,watch june
UgywA2N1QANNu-UTew94AaABAg,literally come watch reel skam norway
Ugz7V2f9uAXbN4NHiBF4AaABAg,href
Ugxpywkb02seJPaPG-p4AaABAg,aaloooooooooooooooooooooooooooooooo
UgzjzItkPM9lDRyxwid4AaABAg,b b exactly b b
UgyY8Mq5tjajyZ-sDIl4AaABAg,dec
UgxUmJS5XGR6RiaHc_54AaABAg,memer like yo meme material br
UgzBEfn6Q-XYc2hcNzZ4AaABAg,href aren t far away mic sing
Ugzp8X14ph4eNHTGOMx4AaABAg,parent think daughter study library br beti href
UgzL-88TQ2gcKvu4rQR4AaABAg,href will ai ni
UgxUKjOaukWDzrvLvTR4AaABAg,href view million like k wonderful comment today friday october st soon billion view m happy dhvani
Ugx_z2bwaHudAYjTF6F4AaABAg,come see b view song
Ugz-iJg0wV15d48wQkh4AaABAg,wale like kro
UgxlR8LkYKTfbEdpuUt4AaABAg,exactly br come br
UgxrnHCYrnQbe3I0v8R4AaABAg,pet mein gana pasand
UgyNDNuJFCS_Xnok2Ex4AaABAg,today s fact decide fly world d need honey fuel
UgwrXa1l6nyixMCv1Oh4AaABAg,come youtube rewind probably coz idk iam br br br br br edit not read add quot rewind quot correct btw forget quot rewind quot tho d
Ugw_nxUfQIgJs_irx494AaABAg,href
UgwIh8v7Sq2j_dG8zgp4AaABAg,nice song like sabke vaaste
Ugxbz2p2MNXtu43o-5t4AaABAg,kis kis ka break heart ha jo comment ko like kry ga ma dua kron gi ka allah g sa ka gf bf ki milayn
UgzLDok0Wgn0n6Oh0ox4AaABAg,teacher population india br vaaste
UgxEEk-YXKtCxl6BOJZ4AaABAg,song new date
UgzJZYHrFnlqdqcI4cF4AaABAg,versi indonesia br br lirik yang saya dengar di menit href lirik lagunya br br pecel lele br iwak lele br tuku ra kudu gede br downloadte sak senengmu sing gede br br terciduq lagi makan br terciduq lagi minum marjan br terfoku arep mangan br oh bahagia br ada sate br kacang ijo br ditambahin melinjo br kiswanto kakehan ngebento
UgwIa68RILyIDiGGaiZ4AaABAg,notice english subtitle write
Ugyrgb9lXBzILWmcyvh4AaABAg,slide quality meme especially actress
Ugxs_gdfZPTxGHxpj2N4AaABAg,br br br
UgzN7UtJnu18G5GBhYV4AaABAg,href whisper crowd hear
UgxkH4_Iuuv6bPqZwXF4AaABAg,k comment video find comment legend ultra legend
UgxK4vwf0lZEkkLXfnV4AaABAg,example forget previous boyfriend day
UgwfdMnWWUsT_xkzaEp4AaABAg,november
UgwQ5xZlYTC1BoHVAl54AaABAg,hear like indian video br carry minati hold beer baby tube vs tik tok href minnati
Ugx6f24gpQOdMR-mkJd4AaABAg,orang indo tu pal bar bar ngg boleh liat viral dikit di ubek ubek seisi youtube
Ugx5gsChHnqMQAdI6eJ4AaABAg,yogi baba
UgwqMilml4fHqI0Xz5J4AaABAg,vaste lover
UgyzXGoly0XVCvbEFKp4AaABAg,surender sebarkan virus yg indo sebarkan
UgyN6nYsd6d7ZSHcoq94AaABAg,come read answer quora quot disturb today
UgybHjKzt7is-ow0Xml4AaABAg,june
Ugw8OfUCJl_4Uzdh-mF4AaABAg,oct
Ugz9b67y8KCP6GeT1F54AaABAg,r yogi baba
UgxUz9YG6za8jvTrARF4AaABAg,removed indian constitution
Ugw79yArTlYbko8MMMJ4AaABAg,ppl troll vocal song nostalgic bro
UgxF8lZjPNMMJd-SBp14AaABAg,b href itti upar se fekne se iphone ka lock khul jata hai b
UgydMlAD5RVEPeGXJs54AaABAg,href dekh buddheko
UgyuurmC0sErPhhksq54AaABAg,october
UgzmES4EH4-IjntuLUp4AaABAg,m come br cause viral indonesia tik tok app
UgytqPcdtFZ8dj23VwF4AaABAg,think cover phone survive br thank like
